objectId,createdAt,updatedAt,ACL,name,state
1SVpJSIwQg,Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),null,"Pierce College, Lakewood",5TYGpvW0rm
1UGSWJeihg,Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),null,Winona State University,4QlUGZjVkm
1XVxdWHmSs,Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),null,Rockford University,LgZHAdphqt
1Z5WADBMrG,Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),null,University of the Potomacâ€“Washington DC Campus,Fl82ryaDBW
1Za0XyTQf7,Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),null,Samuel Merritt University,UzpfDxugnp
1ZjSMyXIAS,Thu Dec 19 2019 08:32:52 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:52 GMT-0600 (Central Standard Time),null,Nueta Hidatsa Sahnish College,l136DEUlaB
1axPDGu9Au,Thu Dec 19 2019 08:33:14 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:14 GMT-0600 (Central Standard Time),null,"University of Phoenix, Phoenix",MlsQSaBJSP
1cwrwefMn2,Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),null,Clemson University,0w9j40Cjb9
1dHLT6BCmn,Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),null,University of the District of Columbia,Fl82ryaDBW
1dlYjzNV0H,Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),null,Lincoln Christian University,LgZHAdphqt
1fHmYdKpzJ,Thu Dec 19 2019 08:33:18 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:18 GMT-0600 (Central Standard Time),null,Colorado Springs,yXtC2WwYuQ
1fwc0xfdho,Thu Dec 19 2019 08:33:01 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:01 GMT-0600 (Central Standard Time),null,Southern University - Baton Rouge,Us2YmobhyD
1gw3Z0aXDk,Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),null,"Prince William Sound College, community college in Valdez",AOkYZLa7US
1hBseXBYS7,Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),null,"Arizona Western College, Yuma, San Luis, Quartzsite, Wellton, Somerton",MlsQSaBJSP
1j3RNRpdz9,Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),null,Fisher College,uQQMu3mJEd
1lzolqcVjI,Thu Dec 19 2019 08:32:54 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:54 GMT-0600 (Central Standard Time),null,Mount St. Joseph University,0VZmSkdlu2
1n08ntGeqP,Thu Dec 19 2019 08:33:03 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:03 GMT-0600 (Central Standard Time),null,Mississippi College School of Law - Jackson,4bZYw85dPD
1npGLWrrVe,Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),null,Horry-Georgetown Technical College,0w9j40Cjb9
1ontYldWBg,Thu Dec 19 2019 08:32:50 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:50 GMT-0600 (Central Standard Time),null,Wayne County Community College District,FqjDwsbDyy
1pjAHznL3z,Thu Dec 19 2019 08:33:05 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:05 GMT-0600 (Central Standard Time),null,"Langston University – Langston, Oklahoma",y0pDG1vk4W
1q4BEDAkwk,Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),null,"Clark College, Vancouver",5TYGpvW0rm
1r96HlomkK,Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),null,University of Missouriâ€“St. Louis,szstg9LhTE
1rFXthrJ8P,Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:47 GMT-0600 (Central Standard Time),null,VanderCook College of Music,LgZHAdphqt
1sDhFZiv9c,Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),null,Leech Lake Tribal College,4QlUGZjVkm
1sK7uC6ZoK,Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),null,"Queens College, Flushing",F5X764CJtI
1tRWqu9vsb,Thu Dec 19 2019 08:32:54 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:54 GMT-0600 (Central Standard Time),null,Milwaukee Institute of Art & Design,vAMOwyBdmF
1tnJ42xhvc,Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),null,"Whatcom Community College, Bellingham",5TYGpvW0rm
1unqovTSCb,Thu Dec 19 2019 08:32:39 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:39 GMT-0600 (Central Standard Time),null,University of Southern Maine,0rMNj9m3wF
1vohVEBbUh,Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),null,Crystal City Campus,WJfKBdeYC9
1wJddbxUs7,Thu Dec 19 2019 08:33:19 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:19 GMT-0600 (Central Standard Time),null,University of Phoenix,hn4lkH7CrW
1y0BIoE0S9,Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),null,Catholic University of America,Fl82ryaDBW
1yWr36KT3B,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Texas A&M Universityâ€“Texarkana,WJfKBdeYC9
22DxoDZjMH,Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),null,"Newman University, Wichita",5Y4mw952ar
23J7siz8XU,Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),null,New York Film Academy,UzpfDxugnp
248fNDLMPL,Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:06 GMT-0600 (Central Standard Time),null,"University of Tulsa – Tulsa, Oklahoma",y0pDG1vk4W
26zefsF2Ow,Thu Dec 19 2019 08:32:38 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:38 GMT-0600 (Central Standard Time),null,Paier College of Art,RgEjBdhWjE
276IoX3RhL,Thu Dec 19 2019 08:32:41 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:41 GMT-0600 (Central Standard Time),null,"University at Albany, SUNY",F5X764CJtI
27wdz8A2NF,Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),null,University of Northwestern Ohio,0VZmSkdlu2
285FDOLoux,Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),null,"Pima Community College, Tucson",MlsQSaBJSP
28Ql7W6OwO,Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),null,Drury University,szstg9LhTE
29tBGL0XX7,Thu Dec 19 2019 08:33:21 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:21 GMT-0600 (Central Standard Time),null,Oregon State University,zzfxE1ggVI
2BAetNWwgB,Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:16 GMT-0600 (Central Standard Time),null,Loyola Marymount University,UzpfDxugnp
2CbyMCBcV3,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Texas A&M Universityâ€“Central Texas,WJfKBdeYC9
2En4XplLn8,Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),null,Suffolk County Community College,F5X764CJtI
2FdFfxUytj,Thu Dec 19 2019 08:33:17 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:17 GMT-0600 (Central Standard Time),null,Windsor Campus,yXtC2WwYuQ
2FmDCL5o89,Thu Dec 19 2019 08:33:08 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:08 GMT-0600 (Central Standard Time),null,"Southern Adventist University, Collegedale",hLCeTRtc1S
2GgHIxqGKH,Thu Dec 19 2019 08:32:38 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:38 GMT-0600 (Central Standard Time),null,Mitchell College,RgEjBdhWjE
2HKcps7wOb,Thu Dec 19 2019 08:33:01 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:01 GMT-0600 (Central Standard Time),null,Louisiana State University at Eunice† - Eunice,Us2YmobhyD
2Ic5gvOfEo,Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),null,"Diné College, Tsaile",MlsQSaBJSP
